AlgaeGroup,OrganismCode,FinalID,AlgaeList,Habit,Heterocystous,IndicatorClass_Cu,IndicatorClass_DOC,IndicatorClass_Ref,IndicatorClass_TN,IndicatorClass_TP,Motility,NitrogenUptakeMetabolism,OxygenRequirements,Salinity,Saprobity,TaxonomicGroup,TrophicState,Zygnemataceae,Phylum,Class,Order,Family,Genus
Diatom,-2122807144,Opephora olsenii,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Opephora
Diatom,-2121989461,Navicula sp 2,Diatom_2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
SoftAlgae,-2116978657,Gonium pectorale,SoftAlgae_2012,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL,NA,No,Chlorophyta,Chlorophyceae,Vovlocales,Goniaceae,Gonium
SoftAlgae,-2116788004,Spirogyra protecta,SoftAlgae_2012,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CA,NA,Yes,Streptophyta,Zygnematophyceae,Zygnematales,Zygnemataceae,Spirogyra
SoftAlgae,-2115781352,Oocystis sp 1,SoftAlgae_2012,NA,No,NI,high,NI,NI,NI,NA,NA,NA,NA,NA,CL,NA,No,Chlorophyta,Trebouxiophyceae,Oocystales,Oocystaceae,Oocystis
Diatom,-2107464675,Navicula arctotenelloides,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Diatom,-2107239203,Gomphoneis eriense var variabilis,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphoneis
Diatom,-2105439056,Stauroneis producta,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Stauroneis
Diatom,-2104770675,Frustulia rhomboides,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Frustulia
SoftAlgae,-2102499813,Mischococcus cf confervicola,SoftAlgae_2012,NA,No,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,OC,NA,No,Heterokontophyta,Xanthophyceae,Mischococcales,Mischococcaceae,Mischococcus
Diatom,-2098833732,Fragilaria capucina,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,FB,BM,NA,M,NA,Heterokontophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Fragilaria
SoftAlgae,-2098600333,Leptolyngbya cf nostocorum,SoftAlgae_2012,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CB,NA,No,Cyanobacteria,Cyanophyceae,Pseudanabaenales,Pseudanabaenaceae,Leptolyngbya
Diatom,-2097401034,Epithemia,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Epithemia
Diatom,-2094728468,Navicula viridula var linearis,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
SoftAlgae,-2094620488,Cladophora cf glomerata,SoftAlgae_2012,NA,No,high,high,NRF,high,high,NA,NA,NA,NA,NA,CL,NA,No,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,Cladophora
Diatom,-2094323639,Encyonema lacustre,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema
SoftAlgae,-2093230611,Staurastrum punctulatum f minor,SoftAlgae_2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Streptophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Staurastrum 
SoftAlgae,-2092713004,Chara canescens,SoftAlgae_2012,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CA,NA,No,Streptophyta,Charophyceae,Charales,Characeae,Chara
Diatom,-2088859565,Opephora marina,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Opephora
Diatom,-2087879741,Hippodonta pumila,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Naviculales,Naviculaceae,Hippodonta
SoftAlgae,-2086170082,Scenedesmus raciborskii,SoftAlgae_2012,NA,No,high,high,NI,high,NI,NA,NA,NA,NA,NA,CL,NA,No,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus
Diatom,-2085669012,Cocconeis sp 1 CAL,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis
SoftAlgae,-2079568866,Chamaesiphon incrustans,SoftAlgae_2012,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,CB,NA,No,Cyanobacteria,Cyanophyceae,Synechococcales,Chamaesiphonaceae,Chamaesiphon
Diatom,-2078306395,Caloneis clevei,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis
SoftAlgae,-2074608579,Dichothrix cf gypsophyla,SoftAlgae_2012,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CB,NA,No,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Dichothrix
Diatom,-2073434200,Tryblionella hungarica,Diatom_2012,BN,NA,NA,NA,NA,high,high,HM,NAHON,DO_30,BF,AM,NA,E,NA,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Tryblionella
SoftAlgae,-2070775859,Klebsormidium sp 1,SoftAlgae_2012,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,CA,NA,No,Streptophyta,Klebsormidiophyceae,Klebsormidiales,Klebsormidiaceae,Klebsormidium
SoftAlgae,-2070728667,Gonatozygon monotaenium,SoftAlgae_2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Streptophyta,Zygnematophyceae,Zygnematales,Peniaceae,Gonatozygon
Diatom,-2070297717,Navicula novaesiberica,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Diatom,-2069670097,Naviculales,Diatom_2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Naviculales,,
Diatom,-2068944964,Stauroneis tackei,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,FB,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Stauroneis
SoftAlgae,-2065377269,Ulothrix tenerrima,SoftAlgae_2012,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,CL,NA,No,Chlorophyta,Ulvophyceae,Ulotrichales,Ulotrichaceae,Ulothrix
Diatom,-2064244119,Navicula cf globulifera SWAMP KB,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
SoftAlgae,-2064088187,Geminella elipsoidea,SoftAlgae_2012,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL,NA,No,Chlorophyta,Ulvophyceae,Ulotrichales,Gloeotilaceae,Geminella
Diatom,-2062896457,Navicula rhynchocephala,Diatom_2012,BN,NA,NA,NA,NA,NA,low,MM,NAHON,DO_30,FB,BM,NA,I,NA,Heterokontophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
SoftAlgae,-2062493651,Batrachospermum gelatinosum,SoftAlgae_2012,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RD,NA,No,Rhodophyta,Florideophyceae,Batrachospermales,Batrachospermaceae,Batrachospermum
SoftAlgae,-2061498876,Phacus circumflexus,SoftAlgae_2012,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EG,NA,No,Euglenozoa,Euglenophyceae,Euglenales,Phacaceae,Phacus
Diatom,-2061100649,Gomphonema pygmaeum,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema
SoftAlgae,-2056647028,Microspora cf stagnorum,SoftAlgae_2012,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL,NA,No,Chlorophyta,Chlorophyceae,Microsporales,Microsporaceae,Microspora
Diatom,-2053298084,Cymbella excisa,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Diatom,-2051599077,Nitzschia vermicularis,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,HM,NA,DO_100,FB,BM,NA,I,NA,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia
Diatom,-2051283543,Gomphonema acuminatum,Diatom_2012,BN,NA,NA,NA,NA,low,NA,NM,NALON,DO_75,FB,BM,NA,E,NA,Heterokontophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema
SoftAlgae,-2049893351,Cyanodermatium fluminense,SoftAlgae_2012,NA,No,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,CB,NA,No,Cyanobacteria,Cyanophyceae,Chroococcales,Entophysalidaceae,Cyanodermatium
Diatom,-2049697694,Bacillariophyceae 9,Diatom_2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,,,
SoftAlgae,-2045427906,Chroococcopsis cf epiphytica,SoftAlgae_2012,NA,No,high,NI,NI,NI,NI,NA,NA,NA,NA,NA,CB,NA,No,Cyanobacteria,Cyanophyceae,Chroococcales,Xenococcaceae,Chroococcopsis
SoftAlgae,-2045106421,Stauridium cf tetras,SoftAlgae_2012,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,CL,NA,No,Chlorophyta,Chlorophyceae,Sphaeropleales,Hydrodictyaceae,Stauridium
Diatom,-2044266866,Cocconeis pseudothumensis,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis
Diatom,-2043682385,Halamphora turgida,Diatom_2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Halamphora
SoftAlgae,-2039760472,Pectodictyon cubicum,SoftAlgae_2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chlorophyta,Chlorophyceae,Chlamydomonadales,Sphaerodictyaceae,Pectodictyon 
SoftAlgae,-2039134795,Zygnema cf argillarii,SoftAlgae_2012,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CA,NA,Yes,Streptophyta,Zygnematophyceae,Zygnematales,Zygnemataceae,Zygnema
SoftAlgae,-2035641963,Pleurotaenium trabecula,SoftAlgae_2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Streptophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Pleurotaenium
Diatom,-2033175367,Gomphoneis herculeana var loweii,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphoneis
Diatom,-2033082138,Pinnularia pulchra,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Pinnularia
Diatom,-2032723277,Aulacoseira valida,Diatom_2012,P,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira
Diatom,-2030426389,Mayamaea,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Naviculales,Naviculaceae,Mayamaea
SoftAlgae,-2028906024,Ankistrodesmus spiralis,SoftAlgae_2012,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,CL,NA,No,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,Ankistrodesmus
SoftAlgae,-2028783971,Chlorophyta 2,SoftAlgae_2012,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL,NA,No,Chlorophyta,,,,
SoftAlgae,-2027334115,Dinobryon divergens,SoftAlgae_2012,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OC,NA,No,Heterokontophyta,Chrysophyceae,Chromulinales,Dinobryaceae,Dinobryon
Diatom,-2026607717,Encyonema obscurum,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema
Diatom,-2026444524,Nitzschia pusilla,Diatom_2012,BN,NA,NA,NA,NA,high,high,HM,NAHON,DO_75,FB,BM,NA,I,NA,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia
Diatom,-2024226589,Nitzschia sublinearis,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,HM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia
Diatom,-2021736007,Surirella tenera,Diatom_2012,BN,NA,NA,NA,NA,NA,low,HM,NA,DO_75,FB,BM,NA,E,NA,Heterokontophyta,Bacillariophyceae,Surirellales,Surirellaceae,Surirella
SoftAlgae,-2018234888,Closterium cf gracile,SoftAlgae_2012,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CA,NA,No,Streptophyta,Zygnematophyceae,Zygnematales,Closteriaceae,Closterium
Diatom,-2017457620,Terpsinoe musica,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,BF,NA,NA,NA,NA,Heterokontophyta,Coscinodiscophyceae,Biddulphiales,Biddulphiaceae,Terpsinoe
Diatom,-2016015167,Nitzschia wuellerstorffii,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,HM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia
SoftAlgae,-2014468908,Oedogonium cf crassum,SoftAlgae_2012,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL,NA,No,Chlorophyta,Chlorophyceae,Oedogoniales,Oedogoniaceae,Oedogonium
SoftAlgae,-2013177755,Calothrix marchica,SoftAlgae_2012,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CB,NA,No,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix
Diatom,-2012191008,Diploneis oculata,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis
Diatom,-2011099355,Gomphoneis cf olivaceum SWAMP KB,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphoneis
Diatom,-2010148270,Encyonema cf muelleri SWAMP KB,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema
Diatom,-2007385817,Cymbopleura hustedtii,Diatom_2012,BN,NA,NA,NA,NA,low,low,NM,NALON,DO_100,FB,OS,NA,OM,NA,Heterokontophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbopleura
SoftAlgae,-2005479574,Microcoleus codii,SoftAlgae_2012,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CB,NA,No,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Microcoleus
SoftAlgae,-2004461683,Muriella terrestris,SoftAlgae_2012,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL,NA,No,Chlorophyta,Trebouxiophyceae,Oocystales,Oocystaceae,Muriella
SoftAlgae,-2001600123,Lyngbya cf nigra,SoftAlgae_2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cyanobacteria,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,Lyngbya
Diatom,-2000976429,Hippodonta capitata,Diatom_2012,BN,NA,NA,NA,NA,high,high,MM,NAHON,DO_50,FB,AM,NA,ME,NA,Heterokontophyta,Bacillariophyceae,Naviculales,Naviculaceae,Hippodonta
Diatom,-2000748125,Cymbopleura lapponica,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,F,NA,NA,O,NA,Heterokontophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbopleura
SoftAlgae,-2000453460,Cryptophyta 1,SoftAlgae_2012,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CR,NA,No,Cryptophyta,,,,
Diatom,-2000016092,Synedra cf goulardi DWB,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Synedra
SoftAlgae,-1999135175,Coleochaete irregularis,SoftAlgae_2012,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CA,NA,No,Streptophyta,Coleochaetophyceae,Coleochaetales,Coleochaetaceae,Coleochaete
Diatom,-1998631617,Navicula cf libonensis SWAMP JPK,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
SoftAlgae,-1998265725,Actinastrum cf hantzschii,SoftAlgae_2012,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL,NA,No,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Actinastrum
Diatom,-1997935631,Gomphosphenia sp 1 SWAMP JPK,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Cymbellales,Rhoicospheniaceae,Gomphosphenia
Diatom,-1994131175,Nitzschia compressa var vexans,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,HM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia
Diatom,-1990597601,Surirella cf ovalis SCCWRP JPK,Diatom_2012,BN,NA,NA,NA,NA,low,low,HM,NAHON,DO_30,B,AM,NA,E,NA,Heterokontophyta,Bacillariophyceae,Surirellales,Surirellaceae,Surirella
SoftAlgae,-1990231575,Rhizoclonium hieroglyphicum,SoftAlgae_2012,NA,No,high,high,NRF,high,NI,NA,NA,NA,NA,NA,CL,NA,No,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,Rhizoclonium
Diatom,-1984118786,Mayamaea fossalis,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Naviculales,Naviculaceae,Mayamaea
SoftAlgae,-1982638885,Spirogyra sp 222,SoftAlgae_2012,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,CA,NA,Yes,Streptophyta,Zygnematophyceae,Zygnematales,Zygnemataceae,Spirogyra
SoftAlgae,-1982602819,Trachelomonas hispida var coronata,SoftAlgae_2012,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EG,NA,No,Euglenozoa,Euglenophyceae,Euglenales,Euglenaceae,Trachelomonas
Diatom,-1982466946,Pinnularia substomatophora,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Pinnularia
SoftAlgae,-1979641969,Chaetophorales 2,SoftAlgae_2012,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL,NA,No,Chlorophyta,Chlorophyceae,Chaetophorales,,
SoftAlgae,-1979628348,Scenedesmus brasiliensis,SoftAlgae_2012,NA,No,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,CL,NA,No,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus
Diatom,-1977750416,Pinnularia aestuarii,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Pinnularia
Diatom,-1976934386,Navicula rotunda,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Diatom,-1975992686,Nitzschia sp 4 SCCWRP JPK,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,HM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia
SoftAlgae,-1975641453,Zygnema cf subcylindricum,SoftAlgae_2012,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CA,NA,Yes,Streptophyta,Zygnematophyceae,Zygnematales,Zygnemataceae,Zygnema
SoftAlgae,-1975133370,Spirogyra varians,SoftAlgae_2012,NA,No,NI,NI,NI,NI,low,NA,NA,NA,NA,NA,CA,NA,Yes,Streptophyta,Zygnematophyceae,Zygnematales,Zygnemataceae,Spirogyra
Diatom,-1971441206,Mastogloia sp A SWAMP KB,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Naviculales,Mastogloiaceae,Mastogloia
SoftAlgae,-1971214869,Trichormus cf fertilissimus,SoftAlgae_2012,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CB,NA,No,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Trichormus
